OBJECTID,code,name,attr,type,town,address,tel,fax,x,y,lon,lat,is_accessi
"12",B01010011,臺北市興隆照顧中心,公設民營,住宿機構,文山區,臺北市文山區興隆路四段105巷45號2樓,(02)2938-1841,(02)2938-1838,306786.18750000000,2764584.75000000000,121.56251526000,24.98816681000,是
"13",B01010011,臺北市興隆照顧中心,公設民營,住宿機構,文山區,臺北市文山區興隆路四段105巷45號2樓,(02)2938-1841,(02)2938-1838,306786.18750000000,2764584.75000000000,121.56251526000,24.98816681000,是
"14",B01040004,臺北市私立心路社區家園,私立,團體家庭,文山區,臺北市文山區興旺里22鄰福興路63巷4弄29號一樓,(02)2932-1015,(02)2788-6435,305414.81250000000,2766408.00000000000,121.54900360000,25.00467873000,是
"15",B01010013,臺北市私立文山創世清寒植物人安養院,私立,住宿機構,文山區,臺北市文山區萬和街8號五樓,(02)2239-7802,(02)8230-1076,307305.90625000000,2766120.00000000000,121.56772614000,25.00200844000,是
"17",B01010015,臺北市私立彩虹村家園,私立,住宿機構,北投區,臺北市北投區泉源路華南巷18號一樓,(02)2893-6122,(02)2893-6131,301121.59375000000,2781411.00000000000,121.50702667000,25.14027596000,是
"18",B01010016,臺北市私立陽明養護中心,私立,住宿機構,北投區,臺北市北投區公舘路209巷18號,(02)2891-2563,(02)2893-6120,301303.03125000000,2779998.50000000000,121.50877380000,25.12751770000,是
"19",B01010016,臺北市私立陽明養護中心,私立,住宿機構,北投區,臺北市北投區公舘路209巷18號,(02)2891-2563,(02)2893-6120,301303.03125000000,2779998.50000000000,121.50877380000,25.12751770000,是
"20",B01010017,臺北市私立永愛發展中心,私立,住宿機構,信義區,臺北市信義區信義路五段150巷316號五樓,(02)2720-8817,(02)2720-4472,307483.81250000000,2768879.00000000000,121.56960297000,25.02690887000,是
"21",B01010018,臺北市南港養護中心,公設民營,住宿機構,南港區,臺北市南港區松河街550號一樓,(02)2783-4274,(02)2783-4925,310390.81250000000,2772337.00000000000,121.59855652000,25.05801392000,是
"22",B01010019,臺北市東明扶愛家園,公設民營,住宿機構,南港區,臺北市南港區南港路二段38巷8弄1號,(02)2760-6277,(02)2764-5303,310969.78125000000,2772012.50000000000,121.60428619000,25.05506134000,是
"23",B01010019,臺北市東明扶愛家園,公設民營,住宿機構,南港區,臺北市南港區南港路二段38巷8弄1號,(02)2760-6277,(02)2764-5303,310969.78125000000,2772012.50000000000,121.60427856000,25.05506134000,是
"24",B01010020,臺北市一壽照顧中心,公設民營,住宿機構,文山區,臺北市文山區樟新里5鄰一壽街22號三、四樓,(02)2938-3438,(02)2938-3136,306159.90625000000,2763646.00000000000,121.55627441000,24.97971535000,是
"29",B01020006,臺北市萬大社區居住家園,公設民營,B0102,萬華區,臺北市萬華區萬大路411、413號,(02)23092434,,300526.18750000000,2769426.00000000000,121.50067902000,25.03209686000,是
"30",B01040001,臺北市健軍團體家庭,公設民營,團體家庭,中正區,臺北市中正區富水里4鄰汀州路三段60巷2弄6號,(02)2365-9037,(02)2365-9037,303564.40625000000,2767599.00000000000,121.53071594000,25.01549721000,是
"31",B01040002,臺北市興隆團體家庭,公設民營,團體家庭,文山區,臺北市文山區木柵路二段138巷33號3樓,(02)2936-0710,,306765.40625000000,2764570.00000000000,121.56230927000,24.98803520000,是
"32",B01040002,臺北市興隆團體家庭,公設民營,團體家庭,文山區,臺北市文山區木柵路二段138巷33號3樓,(02)2936-0710,,306765.40625000000,2764570.00000000000,121.56230927000,24.98803520000,是
"33",B01040003,臺北市三興團體家庭,公設民營,團體家庭,信義區,臺北市信義區景勤里5鄰吳興街156巷6號3樓,(02)2739-1032,(02)2739-2920,306527.40625000000,2769037.00000000000,121.56013489000,25.02837181000,是
"34",B02010001,臺北市私立自立社區學園,私立,日間服務機構,士林區,臺北市士林區德行西路93巷7號地下一樓之1,(02)2835-8805,(02)2837-5355,302533.90625000000,2777495.00000000000,121.52088165000,25.10487366000,是
"35",B02010002,臺北市大同發展中心(兼辦早療服務),公設民營,日間服務機構,大同區,臺北市大同區昌吉街52號六-七樓,(02)2598-6886,(02)2598-6856,302092.09375000000,2773167.00000000000,121.51634216000,25.06581688000,是
"36",B02010003,臺北市博愛發展中心,公設民營,日間服務機構,中山區,臺北市中山區敬業三路160號,(02)8509-6395,(02)8509-6962,306150.50000000000,2774702.00000000000,121.55663300000,25.07952881000,是
"37",B02010004,臺北市私立陽光重建中心,私立,日間服務機構,中山區,臺北市中山區南京東路三段91號三樓,(02)2507-8006,(02)2506-1073,304380.81250000000,2771663.00000000000,121.53896332000,25.05215836000,是
"38",B02010005,臺北市私立心路兒童發展中心(兼辦早療服務),私立,日間服務機構,中山區,臺北市中山區復興北路232號,(02)2508-0635,(02)2508-0639,304878.59375000000,2772227.00000000000,121.54392242000,25.05723190000,是
"39",B02010006,臺北市城中發展中心,公設民營,日間服務機構,中正區,臺北市中正區汀州路二段172號,(02)2364-3036,(02)2364-3040,302688.31250000000,2768512.00000000000,121.52207184000,25.02377129000,是
"40",B02010007,臺北市南海發展中心,公設民營,日間服務機構,中正區,臺北市中正區延平南路207號1-2樓,(02)2311-3946,(02)2311-0348,301230.46875000000,2769516.00000000000,121.50766754000,25.03288460000,是
"41",B02010007,臺北市南海發展中心,公設民營,日間服務機構,中正區,臺北市中正區延平南路207號1-2樓,(02)2311-3946,(02)2311-0348,301230.46875000000,2769516.00000000000,121.50766754000,25.03288651000,是
"42",B02010008,臺北市私立婦幼家園(兼辦早療服務),私立,日間服務機構,內湖區,臺北市內湖區民權東路六段180巷42弄6號,(02)8792-5072,(02)8792-4583,309721.81250000000,2773313.00000000000,121.59197235000,25.06685257000,是
"43",B02010009,臺北市萬芳啟能中心,公設民營,日間服務機構,文山區,臺北市文山區萬美街一段51號1樓,(02)2239-5646,(02)2239-2468,307382.31250000000,2766153.00000000000,121.56848145000,25.00230408000,是
"44",B02010010,臺北市萬芳發展中心(兼辦早療服務),公設民營,日間服務機構,文山區,臺北市文山區萬美街一段55號二樓,(02)2239-6169,(02)2239-6170,307345.31250000000,2766157.00000000000,121.56811523000,25.00234032000,是
"45",B02010011,臺北市永明發展中心(兼辦早療服務),公設民營,日間服務機構,北投區,臺北市北投區永明里4鄰石牌路二段115號四至六樓,(02)2828-3051,(02)2828-3054,302195.31250000000,2778978.00000000000,121.51758575000,25.11827469000,是
"46",B02010012,臺北市私立至德聽語中心(提供早療服務),私立,日間服務機構,中正區,臺北市中正區0鄰中華路一段77號三樓,(02)2820-1825,(02)2820-1826,301239.81250000000,2770187.00000000000,121.50778198000,25.03894234000,是
"47",B02010013,臺北市私立育成裕民發展中心,私立,日間服務機構,北投區,臺北市北投區裕民一路41巷2弄18號,(02)2821-8468,(02)2821-0544,302291.68750000000,2778806.00000000000,121.51853180000,25.11671829000,是
"48",B02010014,臺北市慈祐發展中心,公設民營,日間服務機構,松山區,臺北市松山區八德路四段688號3-4樓,(02)2742-1213,(02)2742-0906,308207.68750000000,2771424.00000000000,121.57688141000,25.04985809000,是
"49",B02010015,臺北市恆愛發展中心,公設民營,日間服務機構,信義區,臺北市信義區松隆路36號六樓,(02)2763-4210,(02)2763-4219,307279.50000000000,2770676.00000000000,121.56764984000,25.04314041000,是
"50",B02010016,臺北市私立第一兒童發展中心(兼辦早療服務),私立,日間服務機構,信義區,臺北市信義區信義路五段150巷316號一樓,(02)2729-4304,(02)2758-0220,307483.81250000000,2768879.00000000000,121.56960297000,25.02690887000,是
"51",B02010017,臺北市私立育仁兒童發展中心(兼辦早療服務),私立,日間服務機構,萬華區,臺北市萬華區萬大路387巷15號,(02)2307-8393,(02)2307-8917,300428.59375000000,2768323.00000000000,121.49967194000,25.02214050000,是
"52",B02010018,臺北市私立育仁啟能中心,私立,日間服務機構,萬華區,臺北市萬華區柳州街41號四樓,(02)2382-1090,(02)2314-3303,300998.40625000000,2770134.00000000000,121.50538635000,25.03847122000,是
"54",B02020002,育成蘭興站,私立,社區日間作業設施,士林區,臺北市士林區磺溪街88巷5號一樓,(02)2838-4866,,302818.18750000000,2777899.00000000000,121.52371979000,25.10851097000,是
"55",B02020003,心願工坊,公設民營,社區日間作業設施,大同區,臺北市大同區昌吉街52號八樓,(02)2592-9960,,302092.09375000000,2773167.00000000000,121.51634216000,25.06581688000,是
"56",B02020004,大安工坊,公設民營,社區日間作業設施,大安區,臺北市大安區瑞安街73號三樓,(02)2707-3050,,304607.59375000000,2769024.00000000000,121.54110718000,25.02832413000,是
"57",B02020005,天生我才大安站,其他,社區日間作業設施,大安區,臺北市大安區敦化南路二段200巷16號五樓,(02)2738-2851,,305264.59375000000,2768413.00000000000,121.54759216000,25.02278519000,是
"58",B02020006,中山工坊,其他,社區日間作業設施,中山區,臺北市中山區建國北路二段260、262號3樓,(02)2501-6506#10,,304249.81250000000,2772637.00000000000,121.53770447000,25.06095505000,是
"59",B02020007,古亭工坊,公設民營,社區日間作業設施,中正區,臺北市中正區羅斯福路二段150號,(02)2362-0218,,302801.90625000000,2768722.00000000000,121.52320862000,25.02566338000,是
"60",B02020008,夢想工坊,其他,社區日間作業設施,中正區,臺北市中正區南昌路二段192號五樓之3,(02)2365-5312,,302866.50000000000,2768564.00000000000,121.52384186000,25.02423477000,是
"61",B02020009,星兒工坊,私立,社區日間作業設施,中正區,臺北市中正區寧波西街62號三樓,(02)2394-4258,,302186.50000000000,2769243.00000000000,121.51712799000,25.03038788000,是
"62",B02020010,肯納和平坊,私立,社區日間作業設施,中正區,臺北市中正區和平西路二段6號四樓,(02)7728-8659,,301003.09375000000,2769544.00000000000,121.50540924000,25.03314590000,是
"63",B02020011,內湖工坊,公設民營,社區日間作業設施,內湖區,臺北市內湖區江南街71巷60號,(02)7709-6051,,308426.40625000000,2774133.00000000000,121.57916260000,25.07430649000,是
"64",B02020012,文山工坊,公設民營,社區日間作業設施,文山區,臺北市文山區興隆路四段105巷47號1樓(興隆公宅2區),(02)2234-6185,,306847.81250000000,2764597.50000000000,121.56312561000,24.98828125000,是
"65",B02020012,文山工坊,公設民營,社區日間作業設施,文山區,臺北市文山區興隆路四段105巷47號1樓(興隆公宅2區),(02)2234-6185,,306847.81250000000,2764597.50000000000,121.56312561000,24.98828125000,是
"66",B02020013,北投工坊,其他,社區日間作業設施,北投區,臺北市北投區石牌路二段99巷9號四樓,(02)2822-6261,,302099.90625000000,2778939.00000000000,121.51663971000,25.11792564000,是
"67",B02020014,肯納行義坊,私立,社區日間作業設施,北投區,臺北市北投區行義路129號,(02)2874-1699,,303269.31250000000,2780148.00000000000,121.52828217000,25.12879944000,是
"68",B02020015,聖文生樂活工坊,私立,社區日間作業設施,北投區,臺北市北投區石牌路二段90巷20號2樓,(02)2823-7730,,302179.31250000000,2778835.00000000000,121.51741791000,25.11698341000,是
"69",B02020016,民生工坊,公設民營,社區日間作業設施,松山區,臺北市松山區敦化北路199巷5號三樓,(02)2716-0021,,305646.31250000000,2772204.00000000000,121.55152893000,25.05699539000,是
"70",B02020017,健康工坊_A處,公設民營,社區日間作業設施,松山區,臺北市松山區健康路399號6樓,(02)2758-8889,,307395.90625000000,2771946.00000000000,121.56886292000,25.05460167000,是
"71",B02020019,星扶工坊,私立,社區日間作業設施,松山區,臺北市松山區八德路四段306號四樓,(02)2528-5266,,307247.90625000000,2771325.00000000000,121.56736755000,25.04899979000,是
"73",B02020022,心朋友工作坊,私立,社區日間作業設施,信義區,臺北市信義區和平東路三段391巷20弄16號,(02)8732-6543,,306333.40625000000,2768194.00000000000,121.55817413000,25.02076912000,是
"77",B02030002,臺北市政府社會局委託財團法人喜憨兒社會福利基金會經營管理中山身障社區長照機構（日間照顧）,公設民營,身障社區長照機構（日間照顧）,中山區,臺北市中山區長安西路5弄2號四樓,(02)2521-1032,(02)2521-1031,302545.75000000000,2771472.75000000000,121.52077484000,25.05050468000,是
"78",B02030002,臺北市政府社會局委託財團法人喜憨兒社會福利基金會經營管理中山身障社區長照機構（日間照顧）,公設民營,身障社區長照機構（日間照顧）,中山區,臺北市中山區長安西路5弄2號四樓,(02)2521-1032,(02)2521-1031,302601.34375000000,2771395.50000000000,121.52132416000,25.04980659000,是
"79",B02030003,臺北市政府社會局委託財團法人伊甸社會福利基金會經營管理臺北市民生身障社區長照機構（日間照顧）,公設民營,身障社區長照機構（日間照顧）,松山區,臺北市松山區民生東路五段163之1號七樓,(02)2760-9605,(02)2760-9625,306761.00000000000,2772437.00000000000,121.56258392000,25.05905724000,是
"81",B02030005,臺北市政府社會局委託財團法人中華民國唐氏症基金會經營管理信義身障社區長照機構（日間照顧）,公設民營,身障社區長照機構（日間照顧）,信義區,臺北市信義區信義路五段15號五樓,(02)2722-9933,（02）2760-6533,307207.90625000000,2769569.00000000000,121.56689453000,25.03314972000,否
"82",B02040001,興隆會所,公設民營,精神障礙者會所,文山區,臺北市文山區木柵路二段138巷33號1樓,(02)2937-7008,,306765.40625000000,2764570.00000000000,121.56230927000,24.98803520000,是
"83",B02040001,興隆會所,公設民營,精神障礙者會所,文山區,臺北市文山區木柵路二段138巷33號1樓,(02)2937-7008,,306765.40625000000,2764570.00000000000,121.56230927000,24.98803520000,是
"84",B02040002,真福之家_方案委託,其他,精神障礙者會所,松山區,臺北市松山區敦化北路145巷10之2號1樓,(02)8712-7717,,305521.18750000000,2771860.00000000000,121.55027771000,25.05389595000,是
"85",B02040003,向陽會所,公設民營,精神障礙者會所,萬華區,臺北市萬華區青年路152巷20號、22號1樓,(02)2305-1912,,300648.50000000000,2768192.00000000000,121.50184631000,25.02095222000,是
"86",B03010001,臺北市士林、北投區身心障礙者資源中心,公設民營,身心障礙者資源中心,北投區,臺北市北投區奇岩里0鄰三合街一段119號7樓,(02)2895-5737,(02)2895-5879,300814.81250000000,2779889.75000000000,121.50392914000,25.12655258000,是
"87",B03010001,臺北市士林、北投區身心障礙者資源中心,公設民營,身心障礙者資源中心,北投區,臺北市北投區奇岩里0鄰三合街一段119號7樓,(02)2895-5737,(02)2895-5879,300814.81250000000,2779889.75000000000,121.50392914000,25.12655258000,是
"88",B03010002,臺北市大同、中山區身心障礙者資源中心,公設民營,身心障礙者資源中心,中山區,臺北市中山區長安西路5巷2號,(02)2522-2486,(02)2522-2485,302545.81250000000,2771473.00000000000,121.52077484000,25.05050659000,是
"89",B03010003,臺北市中正、萬華區身心障礙者資源中心,公設民營,身心障礙者資源中心,中正區,臺北市中正區南門里延平南路207號3樓,(02)2306-9661,(02)2311-2998,301230.46875000000,2769516.00000000000,121.50766754000,25.03288460000,是
"90",B03010003,臺北市中正、萬華區身心障礙者資源中心,公設民營,身心障礙者資源中心,中正區,臺北市中正區南門里延平南路207號3樓,(02)2306-9661,(02)2311-2998,301230.46875000000,2769516.00000000000,121.50766754000,25.03288651000,是
"91",B03010004,大安、文山區身心障礙者資源中心,其他,身心障礙者資源中心,文山區,臺北市文山區辛亥路五段94號一樓,(02)2931-4933,(02)8663-9591,305831.68750000000,2765716.00000000000,121.55310822000,24.99841690000,是
"92",B03010005,臺北市內湖、松山區身心障礙者資源中心,公設民營,身心障礙者資源中心,內湖區,臺北市內湖區瑞光路162號2樓之3,(02)2657-0073,(02)2763-8227,308436.28125000000,2774036.50000000000,121.57926178000,25.07343483000,是
"93",B03010005,臺北市內湖、松山區身心障礙者資源中心,公設民營,身心障礙者資源中心,內湖區,臺北市內湖區瑞光路162號2樓之3,(02)2657-0073,(02)2763-8227,308436.28125000000,2774036.50000000000,121.57926178000,25.07343483000,是
"94",B03010006,臺北市信義、南港區身心障礙者資源中心,其他,身心障礙者資源中心,信義區,臺北市信義區廣居里3鄰忠孝東路五段242號7樓,(02)8780-8910,(02)8780-8951,307752.50000000000,2770419.00000000000,121.57232666000,25.04080200000,是
"95",B03020001,臺北市私立活泉之家,私立,福利服務中心,文山區,臺北市文山區萬美街一段55號三樓,(02)2230-7715#240,(02)2230-3127,307345.31250000000,2766157.00000000000,121.56811523000,25.00234032000,是
"96",B03020002,臺北市身心障礙者自立生活支持服務中心,公設民營,福利服務中心,大同區,臺北市大同區重慶北路三段347號3樓之2,(02)2592-6660,(02)2523-6660,301859.59375000000,2774159.50000000000,121.51407623000,25.07478523000,是
"97",B03020002,臺北市身心障礙者自立生活支持服務中心,公設民營,福利服務中心,大同區,臺北市大同區重慶北路三段347號3樓之2,(02)2592-6660,(02)2523-6660,301859.59375000000,2774159.50000000000,121.51407623000,25.07478523000,是
"98",B03020003,臺北市私立八德服務中心,私立,福利服務中心,松山區,臺北市松山區八德路三段155巷4弄35號,(02)2570-2560,(02)2579-0378,306060.81250000000,2771312.00000000000,121.55560303000,25.04892731000,是
"99",B03030001,臺北市合宜輔具中心(財團法人第一社會福利基金會承辦),公設民營,輔具服務中心,中山區,臺北市中山區玉門街1號,(02)7713-7760,(02)2597-7957,302518.81250000000,2773859.00000000000,121.52059937000,25.07204819000,是
"100",B03030002,臺北市西區輔具中心 (財團法人伊甸社會福利基金會承辦),公設民營,輔具服務中心,中山區,臺北市中山區長安西路2號5巷2號2樓,(02)2523-7902,(02)2523-8411,302545.75000000000,2771472.75000000000,121.52077484000,25.05050468000,是
"101",B03030002,臺北市西區輔具中心 (財團法人伊甸社會福利基金會承辦),公設民營,輔具服務中心,中山區,臺北市中山區長安西路2號5巷2號2樓,(02)2523-7902,(02)2523-8411,302502.81250000000,2771397.50000000000,121.52034760000,25.04982758000,是
"102",B03030003,臺北市南區輔具中心 (財團法人第一社會福利基金會承辦),其他,輔具服務中心,信義區,臺北市信義區信義路五段150巷310號,(02)2720-7364,(02)2723-9464,307473.40625000000,2768894.00000000000,121.56950378000,25.02704620000,是
"103",B04010001,財團法人中華民國自閉症基金會,私立,身心障礙者社區日間活動據點,士林區,臺北市士林區中山北路五段841號4樓之2,(02)2832-3020#19,,302981.09375000000,2777198.00000000000,121.52530670000,25.10217667000,否
"104",B04010002,中華視障人福利協會,私立,身心障礙者社區日間活動據點,中山區,臺北市中山區撫順街6號6樓,(02)2599-1234,,302437.09375000000,2772899.00000000000,121.51975250000,25.06338501000,否
"105",B04010003,財團法人心路社會福利基金會,私立,身心障礙者社區日間活動據點,文山區,臺北市文山區萬和街8號1樓(臺北社區生活支持中心),(02)2239-5319#312,,307305.90625000000,2766120.00000000000,121.56772614000,25.00200844000,否
"106",B04010004,中華民國腦性麻痺協會,私立,身心障礙者社區日間活動據點,北投區,臺北市北投區大業路166號5樓,(02)2892-6222#206,,300325.31250000000,2779748.00000000000,121.49906921000,25.12528992000,否
"107",B04010005,社團法人台北生命勵樂活輔健會,私立,身心障礙者社區日間活動據點,松山區,臺北市松山區塔悠路臺北市觀山自行車租借站（塔悠路與民權東路交叉口，民權高架橋下，基六號疏散門進入，左轉直走往大直橋方向，約250公尺之高速公路橋下方彩色貨櫃屋）,0928-896003,,307334.50000000000,2772757.00000000000,121.56828308000,25.06192589000,否
"109",B04010007,財團法人伊甸社會福利基金會(附設台北市私立恩望身心障礙者人力資源服務中心),私立,身心障礙者社區日間活動據點,南港區,臺北市南港區忠孝東路六段85號3樓,(02)2570-2560#17,,308993.40625000000,2771241.00000000000,121.58466339000,25.04817581000,否
"110",B04010008,社團法人臺北市視障者家長協會,私立,身心障礙者社區日間活動據點,松山區,臺北市松山區敦化北路155巷76號4樓,(02)2717-7722#23,,305642.09375000000,2771908.00000000000,121.55147552000,25.05432320000,否
"112",B06010001,福志公園,公立,共融式遊戲場,士林區,臺北市士林區福林路251巷4弄,(02)2281-2512,,303925.90625000000,2776791.50000000000,121.53466034000,25.09847450000,否
"113",B06010001,福志公園,公立,共融式遊戲場,士林區,臺北市士林區福林路251巷4弄,(02)2281-2512,,303925.90625000000,2776791.50000000000,121.53466034000,25.09847260000,否
"114",B06010002,士林4號廣場,公立,共融式遊戲場,士林區,臺北市士林區福林路與雨農路交叉口,(02)2381-5132#317,,303482.68750000000,2776359.25000000000,121.53025055000,25.09458733000,是
"115",B06010002,士林4號廣場,公立,共融式遊戲場,士林區,臺北市士林區福林路與雨農路交叉口,(02)2381-5132#317,,303482.68750000000,2776359.25000000000,121.53025055000,25.09458733000,是
"116",B06010003,兒童新樂園(機械式),公立,共融式遊戲場,士林區,臺北市士林區承德路五段55號,(02)2833-3823#504,,301859.90625000000,2776602.00000000000,121.51416779000,25.09683609000,是
"117",B06010004,兒童新樂園(非機械式),公立,共融式遊戲場,士林區,臺北市士林區承德路五段55號,(02)2833-3823#504,,301859.90625000000,2776602.00000000000,121.51416779000,25.09683609000,是
"118",B06010005,樹德公園,公立,共融式遊戲場,大同區,臺北市大同區大龍街129號,(02)2585-0192,,302068.56250000000,2773314.75000000000,121.51611328000,25.06715202000,是
"119",B06010005,樹德公園,公立,共融式遊戲場,大同區,臺北市大同區大龍街129號,(02)2585-0192,,302068.56250000000,2773314.75000000000,121.51611328000,25.06715202000,是
"120",B06010006,景化公園,公立,共融式遊戲場,大同區,臺北市大同區伊寧街9巷(景化街巷弄中),(02)2585-0192,,301766.31250000000,2773090.00000000000,121.51310730000,25.06513214000,是
"121",B06010007,朝陽公園,公立,共融式遊戲場,大同區,臺北市大同區重慶北路二段64巷口,(02)2585-0192,,301756.59375000000,2772042.00000000000,121.51296997000,25.05567169000,是
"122",B06010008,建成公園,公立,共融式遊戲場,大同區,臺北市大同區承德路二段臺北市大同區承德路二段35號旁,(02)2785-3819,,302308.12500000000,2771946.75000000000,121.51843262000,25.05479240000,是
"123",B06010008,建成公園,公立,共融式遊戲場,大同區,臺北市大同區承德路二段臺北市大同區承德路二段35號旁,(02)2785-3819,,302308.12500000000,2771946.75000000000,121.51843262000,25.05479431000,是
"124",B06010009,大安國小,公立,共融式遊戲場,大安區,臺北市大安區臥龍街129號,(02)2732-2332#831,,305559.81250000000,2767977.00000000000,121.55049896000,25.01883888000,是
"125",B06010010,和平實驗小學,公立,共融式遊戲場,大安區,臺北市大安區敦南街76巷28號,(02)2733-5900#1108,,305172.00000000000,2768184.50000000000,121.54666901000,25.02072525000,是
"126",B06010010,和平實驗小學,公立,共融式遊戲場,大安區,臺北市大安區敦南街76巷28號,(02)2733-5900#1108,,305172.00000000000,2768184.50000000000,121.54666901000,25.02072525000,是
"127",B06010011,建安國小,公立,共融式遊戲場,大安區,臺北市大安區大安路二段99號,(02)2707-7119#140,,305115.81250000000,2769144.00000000000,121.54615021000,25.02939034000,是
"128",B06010012,古亭國小,公立,共融式遊戲場,大安區,臺北市大安區羅斯福路三段201號,2363-9795轉831,,303336.90625000000,2768171.00000000000,121.52848816000,25.02066994000,是
"129",B06010013,明水公園,公立,共融式遊戲場,中山區,臺北市中山區北安路538巷1弄,(02)2585-0192,,305307.18750000000,2774749.00000000000,121.54827118000,25.07998466000,是
"130",B06010014,永盛公園,公立,共融式遊戲場,中山區,"臺北市中山區中山北路二段93巷26,40號間",(02)2585-0192,,302897.40625000000,2772437.00000000000,121.52429199000,25.05919838000,是
"131",B06010015,大佳河濱公園,公立,共融式遊戲場,中山區,臺北市中山區濱江街　,(02)2712-6390,,303504.31250000000,2773830.00000000000,121.53036499000,25.07175255000,是
"132",B06010016,中安公園,公立,共融式遊戲場,中山區,臺北市中山區中山北路二段65巷2弄內,(02)2585-0192,,302861.90625000000,2772167.00000000000,121.52393341000,25.05676270000,是
"133",B06010017,花博公園美術園區,公立,共融式遊戲場,中山區,臺北市中山區民族東路以北中山北路以東(原民族公園),(02)2585-0192,,302798.96875000000,2773444.75000000000,121.52336121000,25.06830025000,是
"134",B06010017,花博公園美術園區,公立,共融式遊戲場,中山區,臺北市中山區民族東路以北中山北路以東(原民族公園),(02)2585-0192,,302798.96875000000,2773444.75000000000,121.52336121000,25.06829834000,是
"135",B06010018,榮星公園,公立,共融式遊戲場,中山區,臺北市中山區民權東路三段1號,(02)2585-0192,,304489.81250000000,2772768.00000000000,121.54009247000,25.06212997000,是
"136",B06010019,石潭公園,公立,共融式遊戲場,內湖區,臺北市內湖區成功路二段東側,(02)2658-6601,,309654.40625000000,2772577.00000000000,121.59127045000,25.06021118000,是
"137",B06010021,大港墘公園,公立,共融式遊戲場,內湖區,臺北市內湖區瑞光路393巷旁,(02)2658-6601,,307798.81250000000,2774617.00000000000,121.57296753000,25.07869911000,是
"138",B06010022,碧湖公園,公立,共融式遊戲場,內湖區,臺北市內湖區內湖路二段175號，國立臺灣戲曲學院旁,(02)2861-6361,,309091.84375000000,2774896.00000000000,121.58579254000,25.08116722000,是
"139",B06010022,碧湖公園,公立,共融式遊戲場,內湖區,臺北市內湖區內湖路二段175號，國立臺灣戲曲學院旁,(02)2861-6361,,309091.84375000000,2774896.00000000000,121.58579254000,25.08116913000,是
"140",B06010023,潭美國小,公立,共融式遊戲場,內湖區,臺北市內湖區新明路22號,02-27917334分機231,,309401.50000000000,2772456.00000000000,121.58876038000,25.05912781000,是
"141",B06010024,萬芳4號公園,公立,共融式遊戲場,文山區,臺北市文山區萬和街1號對面,(02)2230-0340,,307290.81250000000,2766043.00000000000,121.56757355000,25.00131416000,是
"142",B06010025,興隆公園,公立,共融式遊戲場,文山區,臺北市文山區興隆路二段154巷與仙岩路交口,(02)2230-0340,,305686.37500000000,2766003.50000000000,121.55167389000,25.00101662000,是
"143",B06010025,興隆公園,公立,共融式遊戲場,文山區,臺北市文山區興隆路二段154巷與仙岩路交口,(02)2230-0340,,305686.37500000000,2766003.50000000000,121.55167389000,25.00101662000,是
"144",B06010026,景華公園,公立,共融式遊戲場,文山區,臺北市文山區景興路與景華街交口,(02)2230-0340,,305001.87500000000,2765717.25000000000,121.54488373000,24.99845695000,是
